K_2,K_0,K_20
0.4258,0.435594444,0.39032
0.407922222,0.447127778,0.404875
0.412533333,0.408127778,0.394535
0.4239,0.386755556,0.393055
0.404911111,0.363555556,0.398275
0.414511111,0.438855556,0.39053
0.408577778,0.441694444,0.389405
0.393027778,0.424394444,0.400865
0.392711111,0.3906,0.392005
0.414027778,0.416433333,0.39355
0.3997,0.37475,0.399815
0.40885,0.374494444,0.39084
0.397127778,0.364433333,0.39037
0.408438889,0.390327778,0.403765
0.403827778,0.440783333,0.390725
0.406072222,0.386527778,0.39125
0.391244444,0.384666667,0.400715
0.388072222,0.380372222,0.38977
0.397333333,0.427211111,0.39326
0.412805556,0.442827778,0.402645
0.397522222,0.411016667,0.390825
0.397027778,0.3822,0.38989
0.40245,0.380255556,0.40318
0.410077778,0.442794444,0.391365
0.413527778,0.401783333,0.391225
0.404422222,0.39325,0.401255
0.406277778,0.431255556,0.392165
0.398283333,0.419822222,0.39071
0.404755556,0.454494444,0.39969
0.390622222,0.41175,0.388775
0.433866667,0.453955556,0.38985
0.396194444,0.437983333,0.398655
0.401061111,0.417644444,0.39293
0.399533333,0.368088889,0.389575
0.431133333,0.422022222,0.40324
0.405883333,0.41195,0.39306
0.395527778,0.388427778,0.39247
0.398116667,0.374311111,0.400035
0.403172222,0.444716667,0.39072
0.382394444,0.403972222,0.392325
0.383005556,0.420994444,0.397535
0.412338889,0.391066667,0.391105
0.388905556,0.3868,0.389985
0.382138889,0.425922222,0.401945
0.406538889,0.416127778,0.38889
0.395472222,0.418444444,0.3892
0.388127778,0.413066667,0.400045
0.378216667,0.42695,0.391925
0.392161111,0.401172222,0.388835
0.394266667,0.388022222,0.404485
0.405583333,0.411105556,0.394135
0.410283333,0.407833333,0.39221
0.393705556,0.391494444,0.40076
0.390844444,0.3587,0.389325
0.383766667,0.435327778,0.38827
0.3981,0.408927778,0.40446
0.385388889,0.424194444,0.39542
0.406755556,0.419661111,0.39599
0.4018,0.436994444,0.402135
0.377633333,0.433483333,0.395425
0.393088889,0.35215,0.39058
0.394477778,0.434755556,0.404215
0.395411111,0.41754,0.39041
0.395861111,0.411155556,0.394515
0.414705556,0.413055556,0.40333
0.388861111,0.383215,0.392675
0.39165,0.420472222,0.390215
0.390566667,0.399705556,0.406245
0.387305556,0.379433333,0.39324
0.386516667,0.387165,0.393235
0.395583333,0.414416667,0.405195
0.38725,0.405305,0.39391
0.380305556,0.427316667,0.390935
0.380055556,0.418455556,0.402765
0.392916667,0.415633333,0.390995
0.409355556,0.436138889,0.39009
0.391866667,0.434183333,0.40552
0.389438889,0.404516667,0.39762
0.381922222,0.440683333,0.396005
0.396694444,0.39066,0.40502
0.379438889,0.34326,0.39728
0.389822222,0.38697,0.396815
0.390438889,0.350572222,0.40558
0.381138889,0.404033333,0.395075
0.394205556,0.415116667,0.396105
0.382811111,0.375061111,0.405422222
0.400255556,0.40985,0.392155556
0.379977778,0.38619,0.388988889
0.386211111,0.394865,0.400661111
0.377316667,0.404933333,0.391244444
0.394355556,0.34436,0.390955556
0.3807,0.36565,0.407105
0.389744444,0.336161111,0.395895
0.378566667,0.409833333,0.39709
0.406733333,0.410066667,0.402755
0.377316667,0.38335,0.395585
0.398705556,0.425288889,0.395095
0.394572222,0.400372222,0.405565
0.3906,0.42379,0.393555
0.375338889,0.429611111,0.39383
0.379811111,0.410188889,0.40689
0.387966667,0.373916667,0.396815
0.388605556,0.381305556,0.39591
0.403066667,0.402438889,0.3967
