prethermal_list_0,prethermal_list_5,prethermal_list_20
0.04408125,0.1817125,0.18551875
0.02963125,0.214625,0.18401875
0.29010625,0.205975,0.18598125
0.047525,0.18655625,0.18344375
0.31510625,0.2100875,0.18565
0.03929375,0.19875,0.18385
0.2335875,0.17910625,0.18073125
0.37095,0.21195,0.1827625
0.03315625,0.2161125,0.18625625
-0.06988125,0.17081875,0.18493125
-0.0941,0.17706875,0.18626875
0.06880625,0.17604375,0.1863875
0.39265,0.2144625,0.1829125
0.40933125,0.186725,0.186025
0.0285625,0.2102,0.18789375
0.36014375,0.2086125,0.1844
0.287525,0.19406875,0.1863625
0.3357,0.2211625,0.18556875
0.30231875,0.1948125,0.1858
0.0590125,0.1985875,0.1846875
-0.09950625,0.1776375,0.18295
0.3735,0.21678125,0.1853125
0.057025,0.2126625,0.1848875
0.46726875,0.1869875,0.18308125
0.35860625,0.20918125,0.18618125
0.26216875,0.1961,0.1848125
0.0353875,0.20845,0.1814
0.0680125,0.1844,0.1842625
0.46789375,0.17784375,0.18171875
0.02984375,0.207975,0.18438125
0.02408125,0.188575,0.18503125
0.0360625,0.1925375,0.1831875
0.04705625,0.20586875,0.1830375
-0.1092125,0.1665,0.1887375
0.0317875,0.20903125,0.1862125
0.22223125,0.17249375,0.18986875
0.04550625,0.19753125,0.18735625
0.03015,0.21156875,0.1898875
0.065625,0.2131625,0.1872375
0.04455625,0.2111,0.1885125
-0.060325,0.177825,0.18869375
0.3880875,0.21376875,0.1859
0.37691875,0.21499375,0.183675
-0.02254375,0.1853125,0.18873125
0.402625,0.16629375,0.1860875
0.04084375,0.21049375,0.1832625
0.03755625,0.21171875,0.184975
0.49519375,0.17880625,0.18445
0.07435,0.20005,0.1834875
0.04385625,0.2135375,0.18495625
0.47526875,0.17900625,0.1826
0.02129375,0.19148125,0.18320625
0.06083125,0.213925,0.184675
-0.05845,0.1766125,0.18284375
0.504625,0.18283125,0.1773
-0.02185,0.17999375,0.182425
0.4146375,0.179425,0.18429375
-0.05684375,0.1774875,0.181875
0.4174125,0.1807625,0.18448125
0.0336625,0.20816875,0.1824625
0.21346875,0.1816125,0.182275
0.034925,0.20188125,0.183725
0.07288125,0.21094375,0.17924375
0.36019375,0.20583125,0.18330625
0.05039375,0.205925,0.18166875
0.24429375,0.17894375,0.1811625
0.42685,0.216925,0.1849
0.44543125,0.18179375,0.1851
0.42616875,0.18111875,0.18548125
0.36801875,0.21165625,0.18311875
0.3379125,0.21299375,0.18746875
0.36065625,0.21494375,0.1857625
0.0238625,0.19980625,0.18350625
-0.05261875,0.17815,0.18553125
0.45540625,0.180425,0.18548125
0.0362125,0.2069125,0.18354375
0.24009375,0.18580625,0.1813625
-0.06006875,0.181825,0.18789375
-0.1026,0.16948125,0.1841625
0.0737125,0.185175,0.18411875
0.02989375,0.1946625,0.1812125
0.46636875,0.17170625,0.18331875
0.0390375,0.17976875,0.17998125
0.3259875,0.21496875,0.18109375
0.3651375,0.21986875,0.1820375
-0.077575,0.17275,0.18131875
0.0682125,0.1960125,0.18208125
0.2701625,0.20176875,0.177875
0.2271375,0.1872,0.17888125
0.27504375,0.19679375,0.18238125
0.0532125,0.208025,0.17970625
0.091275,0.18918125,0.17884375
-0.06183125,0.1819,0.1789375
0.03656875,0.22006875,0.18338125
0.08064375,0.2089625,0.18115
0.2832875,0.19518125,0.1792125
0.270325,0.20728125,0.1794125
0.30660625,0.1943875,0.17995625
0.40429375,0.223,0.18018125
0.3944375,0.1875875,0.183625
0.29518125,0.2114125,0.18314375
0.0424,0.19826875,0.1797125
0.45175,0.18815625,0.1802375
-0.06293125,0.18946875,0.17845625
0.40166875,0.181875,0.17905
0.03095,0.1874,0.17833125
0.21736875,0.1760875,0.18040625
-0.0571875,0.18685,0.17941875
-0.058175,0.180075,0.178575
-0.05610625,0.177225,0.17973125
0.0250375,0.19410625,0.180025
0.03425,0.1883125,0.182825
0.00895625,0.18254375,0.17911875
0.02995,0.18583125,0.17705
0.2979875,0.19160625,0.18066875
0.2355875,0.173925,0.18165625
0.4606875,0.17916875,0.182275
0.0683,0.2122375,0.18210625
0.08924375,0.18719375,0.18241875
0.2654125,0.19315,0.17809375
-0.1060875,0.1828875,0.1807375
0.07455,0.18985,0.1839375
0.38100625,0.22253125,0.179925
0.2343875,0.17119375,0.18263125
0.40735625,0.1784875,0.1817125
0.28235,0.19629375,0.17849375
0.22021875,0.172975,0.17801875
0.0381625,0.20029375,0.1778125
0.3992125,0.18000625,0.1787125
0.25335,0.19058125,0.17911875
0.02833125,0.2061375,0.18061875
0.0345875,0.204075,0.1745
0.0363,0.20130625,0.184775
