prethermal_autocorrelators,mbl_autocorrelators,energies_mbl,energies_prethermal
0.150643098,0.41308886,0.711273622,0.1
0.143554214,0.413108064,-0.59235883,-0.3
0.146748166,0.380468197,-0.459392083,-0.3
0.130736113,0.388227846,-0.528543333,0.1
0.165281619,0.408382687,-0.139760728,1.1
0.131705392,0.381676157,-0.866625123,-0.3
0.145432149,0.39344968,-0.030083413,-0.5
0.127595628,0.383985984,0.617741669,0.3
0.141605303,0.400732267,0.191753021,-0.1
0.137750609,0.404596301,-0.124039413,-0.1
0.142201627,0.403156044,-0.706097206,0.1
0.115777239,0.390649272,-0.270618755,0.3
0.215342522,0.395483694,-0.218756701,-0.5
0.149443475,0.400969771,-0.747316962,0.1
0.133023876,0.412559641,0.651958467,0.1
0.154862909,0.388716173,0.434168645,-0.7
0.122768945,0.371392265,0.883670023,0.1
0.133429999,0.403497965,-0.745248761,0.5
0.175003071,0.367622557,0.145890154,-0.9
0.13310457,0.396728434,0.056584094,-0.5
0.164884778,0.372046649,0.815508342,-0.3
0.131356535,0.400108065,-1.131130412,0.5
0.130151924,0.376565261,-0.461370812,-0.3
0.126357665,0.405010602,0.236429642,0.5
0.130068598,0.370751292,0.781031465,-0.1
0.150832115,0.385720822,0.014936656,-0.3
0.122126794,0.373117946,0.447625122,0.3
0.178877419,0.409128449,0.455901134,-0.7
0.138525165,0.418262605,0.06392456,0.3
0.112870525,0.3558576,-0.678788309,0.1
0.139239791,0.386734232,-0.634971986,-0.1
0.123922633,0.360723447,0.009616657,-0.3
0.173935951,0.401428117,0.265699687,-0.3
0.113039223,0.389695449,1.022016238,0.1
0.13239106,0.393214882,0.407111248,-0.3
0.165264397,0.404832972,0.22795202,-0.1
0.1200363,0.406271428,-0.326071173,0.3
0.117079004,0.366860366,-0.26504857,-0.1
0.113163691,0.387022312,-1.290181493,0.1
0.126793906,0.389544861,0.300792882,0.5
0.156610913,0.387616883,0.368671343,0.1
0.127243876,0.367920687,1.516846008,-0.1
0.148676906,0.407861819,-0.52903266,0.1
0.135349733,0.394468612,-0.39272632,0.1
0.143341292,0.418535149,0.454560122,0.1
0.125491805,0.386176224,0.226561914,0.5
0.181331402,0.390148854,0.391015848,-1.1
0.127158449,0.377910127,-0.25460484,0.3
0.137858765,0.41592767,0.404804375,-0.1
0.147936158,0.403844597,-0.110299903,0.9
0.141684492,0.406762269,0.033307727,0.5
0.125585847,0.387070407,-0.656286686,-0.3
0.144603745,0.385584263,-0.633467562,-0.1
0.136248624,0.404502245,-1.311278361,0.3
0.127533476,0.399918155,0.153639923,0.1
0.123962356,0.359458314,0.120281355,-0.1
0.143657926,0.383033697,-0.241521864,-0.1
0.137004402,0.411184092,1.290495306,0.5
0.12066996,0.376752815,-0.577509209,0.9
0.135565973,0.405937254,-0.778146629,0.9
0.134134553,0.403554444,-0.53133223,0.5
0.123629379,0.37709773,-0.671961866,0.7
0.192885443,0.371731382,0.11972205,-0.5
0.127462557,0.388136339,0.336319105,-0.1
0.1686257,0.379752165,-0.351500992,-0.9
0.136511996,0.404322061,-0.490996559,0.5
0.129928394,0.39102323,-0.859492776,0.1
0.137373246,0.404252633,-0.171869737,0.1
0.159454294,0.41506605,-0.111960735,-0.3
0.136651681,0.413331279,-0.861259665,0.1
0.140643087,0.39305737,0.235719862,-0.5
0.125485683,0.403878831,0.313946534,0.1
0.146007238,0.41201262,0.274299412,-0.1
0.132269878,0.408824203,-0.2283,0.7
0.136471114,0.399947616,1.020581844,0.5
0.15987661,0.414340433,0.005151537,0.1
0.162807099,0.416792574,0.159044305,-0.3
0.125952872,0.402511354,0.53917597,0.1
0.14335046,0.406106782,-0.644507916,-0.3
0.143488246,0.404022598,0.108326462,0.3
0.134792298,0.382988749,0.988985627,-0.1
0.157513819,0.387851501,0.25380492,-0.5
0.188437461,0.376154589,0.06378765,-1.1
0.138264173,0.391537953,-0.263311954,0.7
0.131537737,0.392017149,0.156349619,0.1
0.134676741,0.392021053,-0.135095246,-0.1
