thermal_list_0,thermal_list_5,thermal_list_20
0.073104167,0.022560417,0.0042875
-0.02595625,0.014735417,0.004589583
0.039895833,0.0250125,0.0066625
0.098997917,0.013022917,0.005633333
0.046914583,0.007166667,0.006097917
0.009745833,0.019716667,0.006122917
0.039983333,0.038097917,0.006952083
0.001958333,0.014279167,0.005485417
0.0027625,0.016985417,0.005627083
-0.024539583,0.032929167,0.00445625
0.179889583,-0.006504167,0.003985417
-0.0800875,-0.001745833,0.005633333
0.133741667,0.012864583,0.005591667
-0.0002125,-0.0014,0.005839583
-0.035052083,0.0085875,0.006789583
-0.021754167,0.027297917,0.005897917
0.106502083,0.031433333,0.006664583
-0.065939583,0.016122917,0.006379167
0.050379167,0.022908333,0.0041625
-0.025497917,0.008260417,0.0088
-0.108310417,0.017516667,0.007097917
0.061560417,0.02405625,0.006235417
-0.009322917,0.023247917,0.005445833
-0.1521375,0.0098375,0.00645625
0.058004167,0.036416667,0.005425
-0.010614583,0.025447917,0.007120833
0.0430375,-0.00415,0.004114583
0.125239583,0.016814583,0.005966667
-0.095129167,-0.000883333,0.006435417
-0.00370625,0.000722917,0.006495833
-0.096116667,0.016177083,0.007622917
-0.041295833,0.021764583,0.004939583
-0.03123125,0.020747917,0.006704167
-0.069616667,0.01943125,0.005170833
-0.069166667,0.0036125,0.00866875
0.056804167,0.0052375,0.006147917
0.046947917,0.013460417,0.005
-0.110260417,0.009108333,0.008066667
0.077227083,0.020939583,0.00571875
-0.035947917,0.002820833,0.004925
0.134941667,0.001070833,0.00341875
0.105366667,0.02781875,0.006070833
0.109785417,0.016035417,0.003225
0.055045833,0.018583333,0.0060375
-0.0015625,0.0105,0.006654167
0.0780875,0.014741667,0.009104167
0.0165625,0.01925,0.00655
-0.06718125,0.01666875,0.005389583
0.04155625,0.03803125,0.006189583
0.104510417,0.013833333,0.008160417
-0.035320833,0.00651875,0.006820833
0.037910417,0.020902083,0.006383333
0.088164583,-0.00424375,0.006258333
-0.075297917,0.006858333,0.008225
-0.0226125,0.019045833,0.006102083
0.17849375,-0.00883125,0.00783125
0.083414583,0.020889583,0.004189583
0.076554167,0.00523125,0.005741667
0.0597375,0.016983333,0.004841667
-0.034858333,0.00828125,0.007570833
0.061354167,0.02708125,0.007283333
0.02625625,0.007602083,0.00678125
-0.07108125,0.0169125,0.00639375
0.002454167,0.016445833,0.0070125
0.103752083,0.041670833,0.006285417
0.043783333,-0.006122917,0.00863125
-0.043633333,0.019752083,0.00669375
0.025335417,0.009402083,0.00570625
0.083822917,0.023141667,0.006020833
-0.094045833,0.002116667,0.0062125
-0.0712625,0.014564583,0.005810417
-0.166283333,0.004095833,0.0056625
-0.1251625,0.014379167,0.004914583
